coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_c,teach_if,teach_of,handle_veterans,handle_rookies,handle_players,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,opener,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,basecoach_value,positive_relation,negative_relation
1,"Kirk","Gibson","",54,"1957-5-28",60238,206,215,191,1,2,2,15,0,0,840000,3,0,0,0,0,0,0,0,76,76,76,76,76,76,76,76,0,0,0,0,0,3,2,0,0,0,76,0,0,0,0,2,-1,2,2,3,2,1,2,0,2,3,3,2,3,0,1,-1,-1,1,0,2,0,0,-3,0,0,0,4,0,5,-4,0,1,1,-1,6,9,4,1,3,0,-6,-8,111,76,76,0,0,63,-1,-1
2,"Fredi","Gonzalez","",48,"1964-1-28",31031,49,190,185,1,5,2,16,0,0,840000,3,0,0,0,0,0,0,0,100,100,100,100,100,101,100,100,0,0,0,0,0,5,1,0,0,0,100,0,0,0,0,3,2,3,2,3,-3,-1,0,3,0,1,0,0,1,1,1,-1,3,3,3,2,3,3,-1,0,0,-1,-6,-4,-3,0,-1,3,0,0,4,9,5,2,4,4,-6,-4,143,100,100,0,0,83,-1,-1
3,"Buck","Showalter","",55,"1956-5-23",22253,206,195,175,1,13,2,1,0,0,840000,3,0,0,0,0,0,0,0,164,164,164,164,164,164,164,164,0,0,0,0,0,1,3,0,0,0,164,0,0,0,0,0,1,1,1,-1,1,1,3,-1,1,0,1,0,0,0,0,1,1,1,-1,1,-1,-1,-3,0,0,-7,-6,-1,1,-5,4,1,-1,-1,8,8,2,2,4,4,6,-4,203,164,164,0,0,136,-1,-1
4,"Bobby","Valentine","",61,"1950-5-13",75882,206,189,178,1,15,2,2,0,0,840000,3,0,0,0,0,0,0,0,180,180,180,180,180,180,180,180,0,0,0,0,0,5,2,0,0,0,180,0,0,0,0,2,3,3,2,3,-1,-3,-2,3,1,0,1,-1,0,2,3,-1,4,2,3,3,3,3,-1,0,0,-10,-3,-5,-3,1,7,3,0,0,5,9,3,3,4,0,-5,-2,218,180,180,0,0,150,-1,-1
5,"Robin","Ventura","",44,"1967-7-14",71215,206,198,185,1,0,2,3,0,0,840000,3,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,0,0,0,0,0,2,0,0,0,0,60,0,0,0,0,-3,3,3,3,3,-1,-3,-3,2,-3,-3,-2,-1,-3,0,-2,-1,1,1,0,0,3,1,0,0,0,-4,-3,0,1,1,-8,4,0,0,7,8,3,2,0,-3,-6,3,66,60,60,0,0,50,-1,-1
6,"Dale","Sveum","",48,"1963-11-23",64151,206,185,191,1,1,2,17,0,0,840000,3,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,0,0,0,0,0,5,2,0,0,0,68,0,0,0,0,3,3,3,4,3,-2,-2,0,3,-1,1,-1,0,0,3,2,-1,3,2,3,2,3,4,1,0,0,2,1,2,-4,2,8,2,-2,0,6,7,6,1,-6,-9,-2,-3,73,68,68,0,0,56,-1,-1
7,"Dusty","Baker","",62,"1949-6-15",66644,206,187,188,1,18,2,18,0,0,840000,3,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,0,0,0,0,0,1,2,0,0,0,200,0,0,0,0,1,1,-1,-1,-1,0,0,2,-1,1,1,1,-1,1,-1,0,1,-1,-1,1,0,0,-1,-3,0,0,-3,2,2,2,1,1,1,2,0,6,8,4,2,0,2,3,1,250,200,200,0,0,166,-1,-1
8,"Manny","Acta","",43,"1969-1-11",0,56,172,188,1,5,2,4,0,0,840000,3,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,1,2,0,0,0,100,0,0,0,0,0,1,1,0,1,0,-1,3,0,1,0,1,-1,1,1,1,-1,0,0,0,-1,0,0,-3,0,0,-1,-1,1,1,-3,-8,0,0,-1,5,7,4,4,7,-1,7,0,133,100,100,0,0,83,-1,-1
9,"Jim","Tracy","",56,"1955-12-31",30486,206,185,183,1,10,2,19,0,0,840000,3,0,0,0,0,0,0,0,140,140,140,140,140,140,140,140,0,0,0,0,0,2,4,0,0,0,140,0,0,0,0,-1,1,2,2,3,1,-2,-2,1,-3,-3,-1,-2,-2,-1,-3,0,1,1,0,1,4,3,0,0,0,-2,0,4,0,0,-2,0,0,0,7,7,4,2,3,3,2,-5,191,140,140,0,0,116,-1,-1
10,"Jim","Leyland","",67,"1944-12-15",0,206,175,180,1,20,2,5,0,0,840000,3,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,0,0,0,0,0,4,3,0,0,0,200,0,0,0,0,-2,-3,2,1,2,-3,-1,3,-3,0,-1,3,-3,3,4,2,-3,-3,-3,-2,0,1,3,3,0,0,-5,-2,-4,5,5,6,3,-1,0,9,7,4,0,2,6,0,-1,250,200,200,0,0,166,-1,-1
