league_id,name,abbr,nation_id,language_id,gender,historical_league,logo_file_name,players_path,start_date,preferred_start_date,pitcher_award_name,mvp_award_name,rookie_award_name,defense_award_name,fictional_players,start_fantasy_draft,trading_deadline,winter_meetings,arbitration_offering,show_draft_pool,rosters_expanded,draft_date,rule_5_draft_date,roster_expand_date,trade_deadline_date,allstar_date,days_until_deadline,next_draft_type,parent_league_id,league_state,season_year,historical_year,league_level,stats_detail,historical_import_path,foreigner_percentage,was_ootp6,was_65,allstar_game,auto_schedule_allstar,allstar_team_id0,allstar_team_id1,schedule_file_1,schedule_file_2,rules_rule_5,rules_minor_league_options,rules_trading,rules_draft_pick_trading,rules_financials,rules_amateur_draft,rules_fa_compensation,rules_schedule_balanced,rules_schedule_inter_league,rules_schedule_force_start_day,rules_trades_other_leagues,rules_free_agents_from_other_leagues,rules_free_agents_leave_other_leagues,rules_allstar_game,rules_spring_training,rules_active_roster_limit,rules_secondary_roster_limit,rules_expanded_roster_limit,rules_min_service_days,rules_waiver_period_length,rules_dfa_period_length,rules_fa_minimum_years,rules_salary_arbitration_minimum_years,rules_minor_league_fa_minimum_years,rules_foreigner_limit,rules_foreigner_pitcher_limit,rules_foreigner_hitter_limit,rules_schedule_games_per_team,rules_schedule_typical_series,rules_schedule_game_times,rules_schedule_preferred_start_day,rules_amateur_draft_rounds,rules_minimum_salary,rules_salary_cap,rules_player_salary0,rules_player_salary1,rules_player_salary2,rules_player_salary3,rules_player_salary4,rules_player_salary5,rules_player_salary6,rules_player_salary7,rules_average_coach_salary,rules_average_attendance,rules_average_national_media_contract,rules_cash_maximum,rules_average_ticket_price,rules_revenue_sharing,rules_national_media_contract_fixed,rules_owner_decides_budget,rules_schedule_auto_adjust_dates,rules_historical_import_rookies,avg_rating_contact,avg_rating_gap,avg_rating_power,avg_rating_eye,avg_rating_strikeouts,avg_rating_stuff,avg_rating_movement,avg_rating_control,avg_rating_fielding0,avg_rating_fielding1,avg_rating_fielding2,avg_rating_fielding3,avg_rating_fielding4,avg_rating_fielding5,avg_rating_fielding6,avg_rating_fielding7,avg_rating_fielding8,avg_rating_fielding9,avg_rating_overall,avg_rating_age,league_totals_ab,league_totals_h,league_totals_d,league_totals_t,league_totals_hr,league_totals_bb,league_totals_hp,league_totals_k,league_totals_pa,league_totals_babip,league_totals_mod_h,league_totals_mod_d,league_totals_mod_t,league_totals_mod_hr,league_totals_mod_bb,league_totals_mod_hp,league_totals_mod_k,league_totals_mod_babip,ml_equivalencies_avg,ml_equivalencies_hr,ml_equivalencies_eb,ml_equivalencies_bb,ml_equivalencies_k,ml_equivalencies_hp,player_creation_modifier_contact,player_creation_modifier_gap,player_creation_modifier_power,player_creation_modifier_eye,player_creation_modifier_strikeouts,player_creation_modifier_stuff,player_creation_modifier_movement,player_creation_modifier_control,player_creation_modifier_speed,player_creation_modifier_fielding,financial_coefficient,world_start_year,current_date,background_color_id,text_color_id,scouting_coach_id
100,"Major League Baseball","MLB",206,0,0,1,"major_league_baseball.png","","2012-3-28","2012-3-28","Cy Young Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,1,1,"2012-6-1","2012-12-20","2012-9-1","2012-7-31","2012-7-10",160,0,0,1,2012,2012,1,3,"C:\Users\Zachary\Documents\Out of the Park Developments\OOTP Baseball 23\stats",0,0,0,1,1,218,219,"major_league_ml_c_2012.lsdl","",1,1,1,0,1,1,2,0,1,1,0,1,1,1,1,26,40,32,172,7,10,6,3,6,0,0,0,162,3,0,4,28,480000,0,880000,1940000,3880000,5500000,7700000,10900000,14800000,19800000,280000,33249,20400000,10000000,25.5000,1,1,0,1,1,103,113,96,98,95,123,81,106,0,98,102,115,103,96,109,87,105,92,102,29.0468,165251,42063,8261,927,4934,14709,1494,36426,181454,0.3002,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
101,"Pacific Coast League","PCL",206,0,0,0,"pacific_coast_league.png","","2012-4-10","2012-4-4","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-4",-1,0,100,0,2012,2012,2,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,222,223,"ILY_BGY_G144_SL1D1T4D2T4SL2D1T4D2T4_C_T16-D48-N64-I32.lsdl","",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,28,0,0,172,0,0,6,3,6,0,0,0,144,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,10000,45000000,10000000,30.0000,1,0,1,0,0,88,103,70,88,76,102,50,77,0,100,77,111,96,88,91,97,101,88,82,27.3092,82348,22807,4667,594,2182,7849,840,16682,91037,0.3249,1.1000,0.8000,0.8500,1.2000,0.8500,0.8500,0.9000,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
102,"International League","IL",206,0,0,0,"international_league.png","","2012-4-10","2012-4-4","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-11",-1,0,100,0,2012,2012,2,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,0,1,0,0,"ILN_BGN_G144_SL1D1T6D2T4D3T4_C_h2005.lsdl","",0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,28,0,0,172,0,0,6,3,6,0,0,0,144,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,10000,45000000,10000000,30.0000,1,0,1,0,0,87,102,67,89,78,102,51,70,0,100,87,110,95,85,107,99,100,88,81,27.7500,73039,18757,3808,399,1693,7418,746,15790,81203,0.3071,1.1000,0.8000,0.8500,1.2000,0.8500,0.8500,0.9000,1.0000,0.8500,0.8000,0.8500,0.8500,0.8500,0.8500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
103,"Texas League","TL",206,0,0,0,"texas_league.png","","2012-4-10","2012-4-10","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-5",-1,0,100,0,2012,2012,3,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,224,225,"ILN_BGN_G140_SL1D1T4D2T4_C_h2005.lsdl","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,30,0,0,172,0,0,6,3,6,0,0,0,136,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,6666,45000000,10000000,30.0000,1,0,1,0,0,77,92,60,85,57,96,47,70,0,101,82,108,99,89,103,99,67,87,75,24.5867,37847,9695,1776,237,921,3525,545,8386,41917,0.3074,1.1500,0.7000,0.7500,1.2000,0.8500,0.8500,0.9000,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
104,"Southern League","SOUL",206,0,0,0,"southern_league.png","","2012-4-10","2012-4-10","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-5",-1,0,100,0,2012,2012,3,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,226,227,"ILN_BGN_G140_SL1D1T5D2T5_C_hc2005.lsdl","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,30,0,0,172,0,0,6,3,6,0,0,0,136,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,6666,45000000,10000000,30.0000,1,0,1,0,0,78,97,63,85,56,95,48,64,0,100,77,107,93,85,88,97,89,85,75,24.2806,46070,11595,2287,345,908,5195,589,10293,51854,0.3065,1.1500,0.7000,0.7500,1.2000,0.8500,0.8500,0.9000,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
105,"Eastern League","EL",206,0,0,0,"eastern_league.png","","2012-4-10","2012-4-10","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-5",-1,0,100,0,2012,2012,3,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,228,229,"","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,30,0,0,172,0,0,6,3,6,0,0,0,136,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,6666,45000000,10000000,30.0000,1,0,1,0,0,80,101,61,87,59,92,47,68,0,101,80,105,97,86,90,101,106,90,76,24.1455,57247,14893,3049,354,1263,5468,750,12191,63465,0.3112,1.1500,0.7000,0.7500,1.2000,0.8500,0.8500,0.9000,1.0000,0.8000,0.7500,0.8000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
106,"Midwest League","MIDW",206,0,0,0,"midwest_league.png","","2012-4-17","2012-4-13","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-10",-1,0,100,0,2012,2012,4,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,230,231,"ILN_BGN_G140_SL1D1T8D2T8_C_h2005.lsdl","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,32,0,0,172,0,0,6,3,6,0,0,0,128,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,5000,45000000,10000000,30.0000,1,0,1,0,0,66,91,48,79,45,86,46,41,0,100,78,101,94,88,95,97,93,81,65,22.6746,75572,19168,3928,641,1421,7375,1132,16651,84079,0.3086,1.2000,0.8000,0.8500,1.1000,0.8000,0.8000,1.0000,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
107,"South Atlantic League","SALL",206,0,0,0,"south_atlantic_league.png","","2012-4-17","2012-4-13","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-10",-1,0,100,0,2012,2012,4,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,232,233,"","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,32,0,0,172,0,0,6,3,6,0,0,0,128,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,5000,45000000,10000000,30.0000,1,0,1,0,0,67,91,51,80,42,90,47,49,0,101,77,103,89,84,87,97,93,86,67,23.0412,65092,16756,3553,449,1262,6673,1004,14653,72769,0.3151,1.2000,0.8000,0.8500,1.1000,0.8000,0.8000,1.0000,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
108,"Florida State League","FLOR",206,0,0,0,"florida_state_league.png","","2012-4-17","2012-4-13","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-10",-1,0,100,0,2012,2012,4,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,234,235,"","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,32,0,0,172,0,0,6,3,6,0,0,0,128,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,5000,45000000,10000000,30.0000,1,0,1,0,0,66,90,47,78,44,86,49,43,0,101,86,103,93,85,82,97,94,86,65,23.0433,53242,13568,2716,423,907,5116,759,11476,59117,0.3099,1.2000,0.8000,0.8500,1.1000,0.8000,0.8000,1.0000,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
109,"California League","CALL",206,0,0,0,"california_league.png","","2012-4-17","2012-4-13","Pitcher of the Year Award","Most Valuable Player Award","Rookie of the Year Award","Gold Glove Award",0,0,0,0,0,0,0,"2012-6-5","2012-12-1","2012-9-1","2012-7-31","2012-7-10",-1,0,100,0,2012,2012,4,3,"/Users/zgreer/Library/Containers/com.ootpdevelopments.ootp23macqlm/Data/Application Support/Out of the Park Developments/OOTP Baseball 23/stats",0,0,0,1,1,236,237,"ILN_BGN_G140_SL1D1T5D2T5_C_hc2005.lsdl","",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,32,0,0,172,0,0,6,3,6,0,0,0,128,3,0,3,0,555000,0,1000000,2500000,5000000,7500000,11000000,15000000,20000000,28000000,400000,5000,45000000,10000000,30.0000,1,0,1,0,0,68,90,56,77,38,84,47,32,0,100,85,103,94,87,97,98,85,81,64,22.6717,49324,13496,2604,460,1369,4734,628,11170,54686,0.3297,1.2000,0.8000,0.8500,1.1000,0.8000,0.8000,1.0000,1.0000,0.7500,0.7000,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2012,"2012-2-22","#0F2E87","#F0F0F0",-2
