player_id,team_id,league_id,position,role,batting_ratings_overall_contact,batting_ratings_overall_gap,batting_ratings_overall_eye,batting_ratings_overall_strikeouts,batting_ratings_overall_hp,batting_ratings_overall_power,batting_ratings_overall_babip,batting_ratings_vsr_contact,batting_ratings_vsr_gap,batting_ratings_vsr_eye,batting_ratings_vsr_strikeouts,batting_ratings_vsr_hp,batting_ratings_vsr_power,batting_ratings_vsr_babip,batting_ratings_vsl_contact,batting_ratings_vsl_gap,batting_ratings_vsl_eye,batting_ratings_vsl_strikeouts,batting_ratings_vsl_hp,batting_ratings_vsl_power,batting_ratings_vsl_babip,batting_ratings_talent_contact,batting_ratings_talent_gap,batting_ratings_talent_eye,batting_ratings_talent_strikeouts,batting_ratings_talent_hp,batting_ratings_talent_power,batting_ratings_talent_babip,batting_ratings_misc_bunt,batting_ratings_misc_bunt_for_hit,batting_ratings_misc_gb_hitter_type,batting_ratings_misc_fb_hitter_type
1,4,100,7,0,76,137,111,57,4,98,120,76,133,109,57,4,97,119,78,144,115,57,4,101,122,76,137,111,57,4,98,120,7,22,0,0
2,137,109,1,13,16,15,13,15,4,34,231,17,15,14,15,4,35,235,15,13,12,15,4,31,218,16,15,22,15,4,34,189,192,37,1,1
3,19,100,6,0,74,115,27,78,3,75,100,74,112,27,77,3,74,100,78,122,29,80,3,76,102,74,115,62,78,3,75,100,32,34,1,2
4,25,100,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,9,20,27,22,8,34,120,13,16,1,2
5,25,100,7,0,88,71,66,100,0,33,111,91,75,69,102,0,34,113,81,56,56,95,0,30,105,88,71,66,100,0,33,111,52,38,0,2
6,6,100,1,12,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,32,31,6,20,27,22,4,31,31,48,29,0,2
7,9,100,1,11,6,20,27,22,4,31,31,6,20,27,22,4,31,31,6,20,28,22,4,31,31,6,20,27,22,4,31,31,54,89,1,0
8,96,106,1,11,14,22,22,15,4,34,193,14,22,22,15,4,34,192,14,22,23,15,4,35,195,14,22,22,15,4,34,157,196,113,0,0
9,17,100,2,0,110,115,78,141,3,39,110,114,120,81,142,3,40,112,98,96,67,139,3,35,104,114,115,85,141,2,43,111,10,36,2,1
10,17,100,1,12,13,15,13,15,4,34,189,13,15,13,15,4,34,188,14,16,14,15,4,35,191,13,30,33,15,4,34,164,8,74,0,2
11,10,100,1,11,10,23,27,22,4,20,55,10,23,27,22,4,20,55,10,23,28,22,4,20,56,11,23,30,22,4,20,64,52,112,1,2
12,10,100,7,0,98,61,97,121,5,115,91,94,66,89,116,5,114,90,114,42,120,135,5,118,93,200,144,111,122,6,156,119,8,9,0,2
13,25,100,6,0,93,91,48,104,4,45,111,91,96,49,100,4,43,111,100,72,42,116,4,50,111,93,91,48,104,4,45,111,81,13,1,1
14,16,100,6,0,93,71,78,134,2,62,95,93,72,73,138,2,59,95,91,66,92,123,2,71,95,93,93,78,134,3,62,83,101,49,1,0
15,23,100,9,0,153,105,63,185,7,39,114,157,106,66,186,7,41,115,145,99,56,180,7,34,113,153,105,63,185,7,39,113,57,87,0,1
16,20,100,6,0,93,105,54,141,3,33,98,91,96,58,137,3,33,98,94,135,45,151,3,32,98,105,130,63,141,5,78,98,76,91,0,0
17,67,103,7,0,88,105,112,119,5,45,98,91,112,119,121,5,47,100,79,82,93,112,5,41,92,88,105,112,119,5,45,98,31,90,1,2
18,12,100,2,0,88,115,52,111,3,69,95,89,115,55,114,3,72,96,79,113,41,102,3,59,93,110,115,78,121,3,86,106,18,27,0,2
19,20,100,1,12,8,20,28,15,4,31,113,8,20,28,15,4,31,113,8,20,28,15,4,31,114,10,22,28,15,4,34,146,12,69,2,2
20,1,100,6,0,74,96,78,81,2,92,94,76,92,82,81,2,97,95,71,112,62,82,2,79,92,76,96,91,82,5,98,94,34,61,2,0
21,26,100,3,0,93,105,82,134,7,70,94,91,102,81,133,7,70,93,96,111,86,137,7,72,96,93,105,82,134,7,70,94,9,96,0,1
22,45,101,4,0,88,55,39,129,4,22,99,91,61,39,134,4,22,100,79,38,36,111,4,22,95,88,55,39,129,4,22,99,160,19,1,0
23,11,100,1,12,17,15,13,15,4,34,245,18,16,14,15,4,35,249,17,14,12,15,4,32,234,17,15,22,15,4,34,229,10,96,1,0
24,24,100,8,0,74,157,100,50,4,92,124,78,170,95,52,4,97,127,64,118,115,46,4,79,116,74,157,100,50,4,92,124,40,35,0,0
25,28,100,1,12,4,20,27,15,4,31,75,4,20,27,15,4,31,75,4,20,27,15,4,31,75,5,20,27,15,4,31,85,7,11,0,0
26,3,100,1,12,6,20,27,22,4,31,33,6,20,27,22,4,31,33,6,20,28,22,4,32,33,6,20,27,22,4,31,29,55,60,1,1
27,9,100,1,12,4,20,27,21,4,31,24,4,20,27,21,4,31,24,4,20,28,21,4,31,24,12,23,30,29,6,31,28,147,11,0,1
28,42,101,1,12,4,20,28,22,4,31,21,4,21,29,22,4,32,21,4,18,22,22,4,29,19,4,20,35,22,4,31,18,8,31,0,2
29,190,114,1,12,6,20,28,22,4,31,31,6,21,29,22,4,32,32,5,17,22,22,4,28,29,20,26,35,49,1,31,38,51,76,0,0
