player_id,team_id,league_id,position,role,is_major,no_trade,last_year_team_option,last_year_player_option,last_year_vesting_option,next_last_year_team_option,next_last_year_player_option,next_last_year_vesting_option,contract_team_id,contract_league_id,season_year,salary0,salary1,salary2,salary3,salary4,salary5,salary6,salary7,salary8,salary9,years,current_year,minimum_pa,minimum_pa_bonus,minimum_ip,minimum_ip_bonus,mvp_bonus,cyyoung_bonus,allstar_bonus,next_last_year_option_buyout,last_year_option_buyout,opt_out,opt_out_relegation,retained
1,4,100,7,0,1,0,0,0,0,0,0,0,4,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,137,109,1,13,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,100,6,0,1,0,0,0,0,0,0,0,19,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,100,1,12,1,0,0,0,0,0,0,0,25,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,100,7,0,1,0,0,0,0,0,0,0,25,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,100,1,12,1,0,0,0,0,0,0,0,6,100,2012,504000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,100,1,11,1,0,0,0,0,0,0,0,9,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,96,106,1,11,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17,100,2,0,1,0,0,0,0,0,0,0,17,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,100,1,12,1,0,0,0,0,0,0,0,17,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,100,1,11,1,0,0,0,0,0,0,0,10,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,100,7,0,1,0,0,0,0,0,0,0,10,100,2012,6500000,8500000,10500000,10500000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,100,6,0,1,0,0,0,0,0,0,0,25,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16,100,6,0,1,0,0,0,0,0,0,0,16,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,23,100,9,0,1,0,1,0,0,0,0,0,23,100,2012,1000000,1250000,1500000,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,250000,0,0,0
16,20,100,6,0,1,0,0,0,0,0,0,0,20,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,67,103,7,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,100,2,0,1,0,0,0,0,0,0,0,12,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,100,1,12,1,0,0,0,0,0,0,0,20,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,100,6,0,1,0,0,0,0,0,0,0,1,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,100,3,0,1,0,0,0,0,0,0,0,26,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,45,101,4,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,100,1,12,1,0,0,0,0,0,0,0,11,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,100,8,0,1,0,0,0,0,0,0,0,24,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,28,100,1,12,1,0,0,0,0,0,0,0,28,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,100,1,12,1,0,0,0,0,0,0,0,3,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9,100,1,12,1,0,0,0,0,0,0,0,9,100,2012,480000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,42,101,1,12,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,190,114,1,12,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,100,1,11,1,0,0,0,0,0,0,0,13,100,2012,5500000,9500000,10000000,10000000,10000000,11000000,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
31,45,101,1,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,100,1,11,1,0,1,0,0,0,0,0,1,100,2012,3322000,3572000,4072000,4750000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
33,60,102,1,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,207,115,1,12,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,87,105,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
