player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
1,4,100,7,0,62,81,60,100,100,0,0,59,100,0,0,0,200,0,200,0,181,0,200,0,0,107,0,23,0,99,0,88
2,137,109,1,13,48,40,40,13,13,0,0,40,10,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
3,19,100,6,0,134,117,123,10,2,0,0,118,7,0,100,0,0,0,0,200,0,0,0,152,0,0,0,0,100,0,0,0
4,25,100,1,12,48,40,40,15,17,0,0,40,5,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5,25,100,7,0,48,40,40,94,100,0,0,40,94,0,200,0,200,0,0,0,200,0,0,100,0,83,0,0,0,102,0,0
6,6,100,1,12,42,34,40,10,10,0,0,39,2,0,200,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
7,9,100,1,11,48,40,40,3,13,0,0,40,19,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
8,96,106,1,11,48,40,40,20,8,0,0,40,16,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
9,17,100,2,0,104,81,116,6,10,108,97,110,3,0,0,200,136,200,200,0,0,0,0,0,84,101,100,67,0,0,0,0
10,17,100,1,12,48,40,40,18,5,0,0,39,8,0,200,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
11,10,100,1,11,45,37,40,3,4,0,0,38,14,0,200,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
12,10,100,7,0,10,5,14,110,146,0,0,3,97,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,132,55,0
