player_id,team_id,league_id,position,role,pitching_ratings_overall_stuff,pitching_ratings_overall_control,pitching_ratings_overall_movement,pitching_ratings_overall_balk,pitching_ratings_overall_hp,pitching_ratings_overall_wild_pitch,pitching_ratings_vsr_stuff,pitching_ratings_vsr_control,pitching_ratings_vsr_movement,pitching_ratings_vsr_balk,pitching_ratings_vsr_hp,pitching_ratings_vsr_wild_pitch,pitching_ratings_vsl_stuff,pitching_ratings_vsl_control,pitching_ratings_vsl_movement,pitching_ratings_vsl_balk,pitching_ratings_vsl_hp,pitching_ratings_vsl_wild_pitch,pitching_ratings_talent_stuff,pitching_ratings_talent_control,pitching_ratings_talent_movement,pitching_ratings_talent_balk,pitching_ratings_talent_hp,pitching_ratings_talent_wild_pitch,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve,pitching_ratings_pitches_talent_fastball,pitching_ratings_pitches_talent_slider,pitching_ratings_pitches_talent_curveball,pitching_ratings_pitches_talent_screwball,pitching_ratings_pitches_talent_forkball,pitching_ratings_pitches_talent_changeup,pitching_ratings_pitches_talent_sinker,pitching_ratings_pitches_talent_splitter,pitching_ratings_pitches_talent_knuckleball,pitching_ratings_pitches_talent_cutter,pitching_ratings_pitches_talent_circlechange,pitching_ratings_pitches_talent_knucklecurve,pitching_ratings_misc_velocity,pitching_ratings_misc_arm_slot,pitching_ratings_misc_stamina,pitching_ratings_misc_ground_fly,pitching_ratings_misc_hold
1,4,100,7,0,5,1,58,10,15,30,5,1,61,10,15,30,5,1,55,10,15,30,5,1,58,0,13,0,24,0,9,0,0,0,0,0,0,0,0,0,24,0,9,0,0,0,0,0,0,0,0,0,4,3,1,35,137
2,137,109,1,13,95,46,58,0,6,6,93,45,55,0,6,6,103,50,61,0,6,6,95,46,58,0,0,0,102,0,114,0,0,120,0,0,0,0,0,0,102,0,114,0,0,120,0,0,0,0,0,0,9,3,21,57,150
3,19,100,6,0,10,1,58,10,15,30,10,1,63,10,15,30,9,1,52,10,15,30,33,1,58,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,0,71,0,0,0,0,0,0,8,3,1,35,119
4,25,100,1,12,97,14,59,0,9,6,100,14,61,0,9,6,92,13,57,0,9,6,100,120,171,0,0,0,112,84,0,0,0,112,0,0,0,0,0,0,113,86,0,0,0,117,0,0,0,0,0,0,15,3,26,46,126
5,25,100,7,0,67,15,58,1,3,2,61,14,57,1,3,2,84,16,63,1,3,2,75,39,58,0,0,0,105,93,0,0,0,82,0,0,0,0,0,0,110,103,0,0,0,96,0,0,0,0,0,0,12,2,29,57,182
6,6,100,1,12,111,86,59,1,5,5,118,92,63,1,5,5,103,78,54,1,5,5,111,134,215,0,0,0,123,0,98,0,0,38,0,0,0,0,0,0,123,0,98,0,0,38,0,0,0,0,0,0,18,2,27,59,28
7,9,100,1,11,109,2,59,2,12,6,111,2,61,2,12,6,106,2,55,2,12,6,143,23,59,0,0,0,145,0,130,0,0,122,0,0,0,0,0,0,162,0,165,0,0,166,0,0,0,0,0,0,16,3,107,50,123
8,96,106,1,11,70,1,59,1,12,6,72,1,60,1,12,6,68,1,57,1,12,6,79,9,59,0,0,0,93,0,86,0,0,109,0,0,0,0,0,0,98,0,95,0,0,123,0,0,0,0,0,0,10,4,50,43,138
9,17,100,2,0,2,1,58,10,15,30,2,1,60,10,15,30,2,1,54,10,15,30,2,1,58,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,1,35,99
10,17,100,1,12,62,1,59,1,7,6,64,1,61,1,7,6,59,1,55,1,7,6,97,56,156,0,0,0,95,68,0,0,0,42,0,0,0,0,0,0,119,111,0,0,0,103,0,0,0,0,0,0,13,3,25,53,111
